"title";"year";"pageNumber";"genreNumeric";"category"
"Une histoire des médias";"1996";"374";"1";"good"
"Le guide du jardin bio";"2009";"429";"2";"medium"
"Le  potager en carrés";"2009";"168";"2";"medium"
"La poésie";"2006";"381";"3";"bad"
"Le Gardien du phare aime trop les oiseaux";"1987";"29";"3";"bad"
"Besoin de poème : Lettre à mon père";"2006";"285";"3";"bad"
"Aval";"2006";"125";"3";"bad"
"Plantes compagnes au potager bio";"2010";"189";"2";"medium"
"Potager en pots";"2011";"119";"2";"medium"
